auction_id,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
85,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0738105474633711,0.0738105474633711,0,2.22044604925031e-16,0.955197749727446,0.049536050045976,0.0738105474633711,0,0,0.1
86,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0929270927043687,0.0929270927043687,0,0.646920785904013,0.996526306941418,-0.165704473906909,0.0929270927043687,0,0,0.1
87,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0976642702573229,0.0976642702573229,0,0.864943140308049,0.999570373286157,-0.0119432005107337,0.0976642702573229,0,0,0.1
88,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0869960562154243,0.0869960562154243,0,0.4504598137942,0.988393718123085,-0.113400059175557,0.0869960562154243,0,0,0.1
89,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0767024345945793,0.0767024345945793,0,2.22044604925031e-16,0.993450225173768,0.0789825553292863,0.0767024345945793,0,0,0.1
90,H,0.0995,10,0.560677050330648,0.0216423268408614,1,0.0861647312733445,0.0861647312733445,0,0.399198690132882,0.984735991440201,0.125894494471943,0.0861647312733445,0,0,0.1
91,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0875620153450872,0.0875620153450872,0,0.473926185194596,0.988523375243276,-0.057251754848449,0.0875620153450872,0,0,0.1
92,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0739939766908236,0.0739939766908236,0,2.22044604925031e-16,0.957624062269245,-0.109138945067286,0.0739939766908236,0,0,0.1
93,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0861881624887919,0.0861881624887919,0,0.401201583441426,0.993149303939323,-0.111844970874557,0.0861881624887919,0,0,0.1
94,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0895164158794593,0.0895164158794593,0,0.577378938961816,0.981943618500656,-0.100843445904028,0.0895164158794593,0,0,0.1
95,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0850373004919187,0.0850373004919187,0,0.323868585271508,0.993438276628519,-0.049037882519851,0.0850373004919187,0,0,0.1
96,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0759773362906313,0.0759773362906313,0,2.22044604925031e-16,0.975127711204512,0.147638992099912,0.0759773362906313,0,0,0.1
97,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0765765489365031,0.0765765489365031,0,2.22044604925031e-16,0.983053804417436,-0.0455768385982248,0.0765765489365031,0,0,0.1
98,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0784599242829155,0.0784599242829155,0,2.22044604925031e-16,1.00796617640031,0.0250743563622774,0.0784599242829155,0,0,0.1
99,L,0.0837,10,0.560677050330648,0.0216423263814932,8,0.0733949452461125,0.0733949452461125,0,2.22044604925031e-16,0.949700365947338,0.122952579852679,0.0733949452461125,0,0,0.1
100,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0770164081033619,0.0770164081033619,0,2.22044604925031e-16,0.988872047015553,-0.183021323384469,0.0770164081033619,0,0,0.1
101,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0774654622689214,0.0774654622689214,0,2.22044604925031e-16,0.994811917325087,0.19735819933896,0.0774654622689214,0,0,0.1
102,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0769941748454382,0.0769941748454382,0,2.22044604925031e-16,0.98857795630191,0.137391178625478,0.0769941748454382,0,0,0.1
103,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0752155840279313,0.0752155840279313,0,2.22044604925031e-16,0.973782889279434,-0.15495219561282,0.0752155840279313,0,0,0.1
104,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.097209168571253,0.097209168571253,0,0.848379139155824,0.998743192623649,-0.0450098325950964,0.097209168571253,0,0,0.1
105,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0921990144639269,0.0921990144639269,0,0.597978465046818,1.0022386716434,0.0428538757670113,0.0921990144639269,0,0,0.1
106,H,0.0995,10,0.560677050330648,0.0216423268408614,2,0.085680543155225,0.085680543155225,0,0.361400240796884,0.990180900582313,0.0113270278034525,0.085680543155225,0,0,0.1
107,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.076443565744281,0.076443565744281,0,2.22044604925031e-16,0.990026033687341,0.0912326231065503,0.076443565744281,0,0,0.1
108,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0760192713666254,0.0760192713666254,0,2.22044604925031e-16,0.984413702414924,-0.0161912197325236,0.0760192713666254,0,0,0.1
109,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0774589349568403,0.0774589349568403,0,2.22044604925031e-16,0.994725577217893,-0.0881263827568765,0.0774589349568403,0,0,0.1
